"CollectionUtils.java:167"$1$"			for (Object candidate : collection) {"
"CollectionUtils.java:168"$1$"				if (candidate == element) {"
"CollectionUtils.java:169"$1$"					return true;"
"CollectionUtils.java:170"$1$"				}"
"CollectionUtils.java:171"$0$"			}"
"CollectionUtils.java:172"$0$"		}"
"CollectionUtils.java:173"$0$"		return false;"
"CollectionUtils.java:174"$0$"	}"
"CollectionUtils.java:175"$0$""
"CollectionUtils.java:176"$0$"	/**"
"CollectionUtils.java:177"$1$"	 * Return {@code true} if any element in '{@code candidates}' is"
"CollectionUtils.java:178"$1$"	 * contained in '{@code source}'; otherwise returns {@code false}."
"CollectionUtils.java:179"$0$"	 * @param source the source Collection"
"CollectionUtils.java:180"$0$"	 * @param candidates the candidates to search for"
"CollectionUtils.java:181"$0$"	 * @return whether any of the candidates has been found"
"CollectionUtils.java:182"$0$"	 */"
"CollectionUtils.java:183"$1$"	public static boolean containsAny(Collection<?> source, Collection<?> candidates) {"
"CollectionUtils.java:184"$1$"		return findFirstMatch(source, candidates) != null;"
"CollectionUtils.java:185"$1$"	}"
"CollectionUtils.java:186"$0$""
"CollectionUtils.java:187"$0$"	/**"
"CollectionUtils.java:188"$1$"	 * Return the first element in '{@code candidates}' that is contained in"
"CollectionUtils.java:189"$1$"	 * '{@code source}'. If no element in '{@code candidates}' is present in"
"CollectionUtils.java:190"$1$"	 * '{@code source}' returns {@code null}. Iteration order is"
"CollectionUtils.java:191"$1$"	 * {@link Collection} implementation specific."
"CollectionUtils.java:192"$0$"	 * @param source the source Collection"
"CollectionUtils.java:193"$0$"	 * @param candidates the candidates to search for"
"CollectionUtils.java:194"$1$"	 * @return the first present object, or {@code null} if not found"
"CollectionUtils.java:195"$0$"	 */"
"CollectionUtils.java:196"$0$"	@SuppressWarnings(""unchecked"")"
"CollectionUtils.java:197"$0$"	@Nullable"
"CollectionUtils.java:198"$1$"	public static <E> E findFirstMatch(Collection<?> source, Collection<E> candidates) {"
"CollectionUtils.java:199"$1$"		if (isEmpty(source) || isEmpty(candidates)) {"
"CollectionUtils.java:200"$1$"			return null;"
"CollectionUtils.java:201"$1$"		}"
"CollectionUtils.java:202"$1$"		for (Object candidate : candidates) {"
"CollectionUtils.java:203"$1$"			if (source.contains(candidate)) {"
"CollectionUtils.java:204"$1$"				return (E) candidate;"
"CollectionUtils.java:205"$1$"			}"
"CollectionUtils.java:206"$0$"		}"
"CollectionUtils.java:207"$0$"		return null;"
"CollectionUtils.java:208"$0$"	}"
"CollectionUtils.java:209"$0$""
"CollectionUtils.java:210"$0$"	/**"
"CollectionUtils.java:211"$0$"	 * Find a single value of the given type in the given Collection."
"CollectionUtils.java:212"$0$"	 * @param collection the Collection to search"
"CollectionUtils.java:213"$0$"	 * @param type the type to look for"
"CollectionUtils.java:214"$0$"	 * @return a value of the given type found if there is a clear match,"
"CollectionUtils.java:215"$1$"	 * or {@code null} if none or more than one such value found"
"CollectionUtils.java:216"$0$"	 */"
"CollectionUtils.java:217"$0$"	@SuppressWarnings(""unchecked"")"
"CollectionUtils.java:218"$0$"	@Nullable"
"CollectionUtils.java:219"$1$"	public static <T> T findValueOfType(Collection<?> collection, @Nullable Class<T> type) {"
"CollectionUtils.java:220"$1$"		if (isEmpty(collection)) {"
"CollectionUtils.java:221"$1$"			return null;"
"CollectionUtils.java:222"$1$"		}"
"CollectionUtils.java:223"$0$"		T value = null;"
"CollectionUtils.java:224"$1$"		for (Object element : collection) {"
"CollectionUtils.java:225"$1$"			if (type == null || type.isInstance(element)) {"
"CollectionUtils.java:226"$1$"				if (value != null) {"
"CollectionUtils.java:227"$0$"					// More than one value found... no clear single value."
"CollectionUtils.java:228"$1$"					return null;"
"CollectionUtils.java:229"$1$"				}"
"CollectionUtils.java:230"$0$"				value = (T) element;"
"CollectionUtils.java:231"$0$"			}"
"CollectionUtils.java:232"$0$"		}"
"CollectionUtils.java:233"$0$"		return value;"
"CollectionUtils.java:234"$0$"	}"
"CollectionUtils.java:235"$0$""
"CollectionUtils.java:236"$0$"	/**"
"CollectionUtils.java:237"$0$"	 * Find a single value of one of the given types in the given Collection:"
"CollectionUtils.java:238"$0$"	 * searching the Collection for a value of the first type, then"
"CollectionUtils.java:239"$0$"	 * searching for a value of the second type, etc."
"CollectionUtils.java:240"$0$"	 * @param collection the collection to search"
"CollectionUtils.java:241"$0$"	 * @param types the types to look for, in prioritized order"
"CollectionUtils.java:242"$0$"	 * @return a value of one of the given types found if there is a clear match,"
"CollectionUtils.java:243"$1$"	 * or {@code null} if none or more than one such value found"
"CollectionUtils.java:244"$0$"	 */"
"CollectionUtils.java:245"$0$"	@Nullable"
"CollectionUtils.java:246"$1$"	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {"
"CollectionUtils.java:247"$1$"		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {"
"CollectionUtils.java:248"$1$"			return null;"
"CollectionUtils.java:249"$1$"		}"
"CollectionUtils.java:250"$1$"		for (Class<?> type : types) {"
"CollectionUtils.java:251"$1$"			Object value = findValueOfType(collection, type);"
"CollectionUtils.java:252"$1$"			if (value != null) {"
"CollectionUtils.java:253"$1$"				return value;"
"CollectionUtils.java:254"$1$"			}"
"CollectionUtils.java:255"$0$"		}"
"CollectionUtils.java:256"$0$"		return null;"
"CollectionUtils.java:257"$0$"	}"
"CollectionUtils.java:258"$0$""
"CollectionUtils.java:259"$0$"	/**"
"CollectionUtils.java:260"$0$"	 * Determine whether the given Collection only contains a single unique object."
"CollectionUtils.java:261"$0$"	 * @param collection the Collection to check"
"CollectionUtils.java:262"$1$"	 * @return {@code true} if the collection contains a single reference or"
"CollectionUtils.java:263"$1$"	 * multiple references to the same instance, {@code false} otherwise"
"CollectionUtils.java:264"$0$"	 */"
"CollectionUtils.java:265"$1$"	public static boolean hasUniqueObject(Collection<?> collection) {"
"CollectionUtils.java:266"$1$"		if (isEmpty(collection)) {"
"CollectionUtils.java:267"$1$"			return false;"
"CollectionUtils.java:268"$1$"		}"
"CollectionUtils.java:269"$0$"		boolean hasCandidate = false;"
"CollectionUtils.java:270"$0$"		Object candidate = null;"
"CollectionUtils.java:271"$1$"		for (Object elem : collection) {"
"CollectionUtils.java:272"$1$"			if (!hasCandidate) {"
"CollectionUtils.java:273"$1$"				hasCandidate = true;"
"CollectionUtils.java:274"$1$"				candidate = elem;"
"CollectionUtils.java:275"$1$"			}"
"CollectionUtils.java:276"$1$"			else if (candidate != elem) {"
"CollectionUtils.java:277"$1$"				return false;"
"CollectionUtils.java:278"$1$"			}"
"CollectionUtils.java:279"$0$"		}"
"CollectionUtils.java:280"$0$"		return true;"
"CollectionUtils.java:281"$0$"	}"
"CollectionUtils.java:282"$0$""
"CollectionUtils.java:283"$0$"	/**"
"CollectionUtils.java:284"$0$"	 * Find the common element type of the given Collection, if any."
"CollectionUtils.java:285"$0$"	 * @param collection the Collection to check"
"CollectionUtils.java:286"$1$"	 * @return the common element type, or {@code null} if no clear"
"CollectionUtils.java:287"$0$"	 * common type has been found (or the collection was empty)"
"CollectionUtils.java:288"$0$"	 */"
"CollectionUtils.java:289"$0$"	@Nullable"
"CollectionUtils.java:290"$1$"	public static Class<?> findCommonElementType(Collection<?> collection) {"
"CollectionUtils.java:291"$1$"		if (isEmpty(collection)) {"
"CollectionUtils.java:292"$1$"			return null;"
"CollectionUtils.java:293"$1$"		}"
"CollectionUtils.java:294"$0$"		Class<?> candidate = null;"
"CollectionUtils.java:295"$1$"		for (Object val : collection) {"
"CollectionUtils.java:296"$1$"			if (val != null) {"
"CollectionUtils.java:297"$1$"				if (candidate == null) {"
"CollectionUtils.java:298"$1$"					candidate = val.getClass();"
"CollectionUtils.java:299"$1$"				}"
"CollectionUtils.java:300"$1$"				else if (candidate != val.getClass()) {"
"CollectionUtils.java:301"$1$"					return null;"
"CollectionUtils.java:302"$1$"				}"
"CollectionUtils.java:303"$0$"			}"
"CollectionUtils.java:304"$0$"		}"
"CollectionUtils.java:305"$0$"		return candidate;"
"CollectionUtils.java:306"$0$"	}"
"CollectionUtils.java:307"$0$""
"CollectionUtils.java:308"$0$"	/**"
"CollectionUtils.java:309"$1$"	 * Retrieve the first element of the given Set, using {@link SortedSet#first()}"
"CollectionUtils.java:310"$0$"	 * or otherwise using the iterator."
"CollectionUtils.java:311"$1$"	 * @param set the Set to check (may be {@code null} or empty)"
"CollectionUtils.java:312"$1$"	 * @return the first element, or {@code null} if none"
"CollectionUtils.java:313"$0$"	 * @since 5.2.3"
"CollectionUtils.java:314"$0$"	 * @see SortedSet"
"CollectionUtils.java:315"$0$"	 * @see LinkedHashMap#keySet()"
"CollectionUtils.java:316"$0$"	 * @see java.util.LinkedHashSet"
"CollectionUtils.java:317"$0$"	 */"
"CollectionUtils.java:318"$0$"	@Nullable"
"CollectionUtils.java:319"$1$"	public static <T> T firstElement(@Nullable Set<T> set) {"
"CollectionUtils.java:320"$1$"		if (isEmpty(set)) {"
"CollectionUtils.java:321"$1$"			return null;"
"CollectionUtils.java:322"$1$"		}"
"CollectionUtils.java:323"$1$"		if (set instanceof SortedSet) {"
"CollectionUtils.java:324"$1$"			return ((SortedSet<T>) set).first();"
"CollectionUtils.java:325"$1$"		}"
"CollectionUtils.java:326"$0$""
"CollectionUtils.java:327"$0$"		Iterator<T> it = set.iterator();"
"CollectionUtils.java:328"$0$"		T first = null;"
"CollectionUtils.java:329"$1$"		if (it.hasNext()) {"
"CollectionUtils.java:330"$1$"			first = it.next();"
"CollectionUtils.java:331"$1$"		}"
"CollectionUtils.java:332"$0$"		return first;"
"CollectionUtils.java:333"$0$"	}"
"CollectionUtils.java:334"$0$""
"CollectionUtils.java:335"$0$"	/**"
"CollectionUtils.java:336"$0$"	 * Retrieve the first element of the given List, accessing the zero index."
"CollectionUtils.java:337"$1$"	 * @param list the List to check (may be {@code null} or empty)"
"CollectionUtils.java:338"$1$"	 * @return the first element, or {@code null} if none"
"CollectionUtils.java:339"$0$"	 * @since 5.2.3"
"CollectionUtils.java:340"$0$"	 */"
"CollectionUtils.java:341"$0$"	@Nullable"
"CollectionUtils.java:342"$1$"	public static <T> T firstElement(@Nullable List<T> list) {"
"CollectionUtils.java:343"$1$"		if (isEmpty(list)) {"
"CollectionUtils.java:344"$1$"			return null;"
"CollectionUtils.java:345"$1$"		}"
"CollectionUtils.java:346"$0$"		return list.get(0);"
"CollectionUtils.java:347"$0$"	}"
"CollectionUtils.java:348"$0$""
"CollectionUtils.java:349"$0$"	/**"
"CollectionUtils.java:350"$1$"	 * Retrieve the last element of the given Set, using {@link SortedSet#last()}"
"CollectionUtils.java:351"$0$"	 * or otherwise iterating over all elements (assuming a linked set)."
"CollectionUtils.java:352"$1$"	 * @param set the Set to check (may be {@code null} or empty)"
"CollectionUtils.java:353"$1$"	 * @return the last element, or {@code null} if none"
"CollectionUtils.java:354"$0$"	 * @since 5.0.3"
"CollectionUtils.java:355"$0$"	 * @see SortedSet"
"CollectionUtils.java:356"$0$"	 * @see LinkedHashMap#keySet()"
"CollectionUtils.java:357"$0$"	 * @see java.util.LinkedHashSet"
"CollectionUtils.java:358"$0$"	 */"
"CollectionUtils.java:359"$0$"	@Nullable"
"CollectionUtils.java:360"$1$"	public static <T> T lastElement(@Nullable Set<T> set) {"
"CollectionUtils.java:361"$1$"		if (isEmpty(set)) {"
"CollectionUtils.java:362"$1$"			return null;"
"CollectionUtils.java:363"$1$"		}"
"CollectionUtils.java:364"$1$"		if (set instanceof SortedSet) {"
"CollectionUtils.java:365"$1$"			return ((SortedSet<T>) set).last();"
"CollectionUtils.java:366"$1$"		}"
"CollectionUtils.java:367"$0$""
"CollectionUtils.java:368"$0$"		// Full iteration necessary..."
"CollectionUtils.java:369"$0$"		Iterator<T> it = set.iterator();"
"CollectionUtils.java:370"$0$"		T last = null;"
"CollectionUtils.java:371"$1$"		while (it.hasNext()) {"
"CollectionUtils.java:372"$1$"			last = it.next();"
"CollectionUtils.java:373"$1$"		}"
"CollectionUtils.java:374"$0$"		return last;"
"CollectionUtils.java:375"$0$"	}"
"CollectionUtils.java:376"$0$""
"CollectionUtils.java:377"$0$"	/**"
"CollectionUtils.java:378"$0$"	 * Retrieve the last element of the given List, accessing the highest index."
"CollectionUtils.java:379"$1$"	 * @param list the List to check (may be {@code null} or empty)"
"CollectionUtils.java:380"$1$"	 * @return the last element, or {@code null} if none"
"CollectionUtils.java:381"$0$"	 * @since 5.0.3"
"CollectionUtils.java:382"$0$"	 */"
"CollectionUtils.java:383"$0$"	@Nullable"
"CollectionUtils.java:384"$1$"	public static <T> T lastElement(@Nullable List<T> list) {"
"CollectionUtils.java:385"$1$"		if (isEmpty(list)) {"
"CollectionUtils.java:386"$1$"			return null;"
"CollectionUtils.java:387"$1$"		}"
"CollectionUtils.java:388"$0$"		return list.get(list.size() - 1);"
"CollectionUtils.java:389"$0$"	}"
"CollectionUtils.java:390"$0$""
"CollectionUtils.java:391"$0$"	/**"
"CollectionUtils.java:392"$0$"	 * Marshal the elements from the given enumeration into an array of the given type."
"CollectionUtils.java:393"$0$"	 * Enumeration elements must be assignable to the type of the given array. The array"
"CollectionUtils.java:394"$0$"	 * returned will be a different instance than the array given."
"CollectionUtils.java:395"$0$"	 */"
"CollectionUtils.java:396"$1$"	public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {"
"CollectionUtils.java:397"$1$"		ArrayList<A> elements = new ArrayList<>();"
"CollectionUtils.java:398"$1$"		while (enumeration.hasMoreElements()) {"
"CollectionUtils.java:399"$1$"			elements.add(enumeration.nextElement());"
"CollectionUtils.java:400"$1$"		}"
"CollectionUtils.java:401"$0$"		return elements.toArray(array);"
"CollectionUtils.java:402"$0$"	}"
"CollectionUtils.java:403"$0$""
"CollectionUtils.java:404"$0$"	/**"
"CollectionUtils.java:405"$1$"	 * Adapt an {@link Enumeration} to an {@link Iterator}."
"CollectionUtils.java:406"$1$"	 * @param enumeration the original {@code Enumeration}"
"CollectionUtils.java:407"$1$"	 * @return the adapted {@code Iterator}"
"CollectionUtils.java:408"$0$"	 */"
"CollectionUtils.java:409"$1$"	public static <E> Iterator<E> toIterator(@Nullable Enumeration<E> enumeration) {"
"CollectionUtils.java:410"$1$"		return (enumeration != null ? new EnumerationIterator<>(enumeration) : Collections.emptyIterator());"
"CollectionUtils.java:411"$1$"	}"
"CollectionUtils.java:412"$0$""
"CollectionUtils.java:413"$0$"	/**"
"CollectionUtils.java:414"$1$"	 * Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}."
"CollectionUtils.java:415"$0$"	 * @param map the original map"
"CollectionUtils.java:416"$0$"	 * @return the multi-value map"
"CollectionUtils.java:417"$0$"	 * @since 3.1"
"CollectionUtils.java:418"$0$"	 */"
"CollectionUtils.java:419"$1$"	public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {"
"CollectionUtils.java:420"$1$"		return new MultiValueMapAdapter<>(map);"
"CollectionUtils.java:421"$1$"	}"
"CollectionUtils.java:422"$0$""
"CollectionUtils.java:423"$0$"	/**"
"CollectionUtils.java:424"$0$"	 * Return an unmodifiable view of the specified multi-value map."
"CollectionUtils.java:425"$0$"	 * @param  map the map for which an unmodifiable view is to be returned."
"CollectionUtils.java:426"$0$"	 * @return an unmodifiable view of the specified multi-value map."
"CollectionUtils.java:427"$0$"	 * @since 3.1"
"CollectionUtils.java:428"$0$"	 */"
"CollectionUtils.java:429"$0$"	@SuppressWarnings(""unchecked"")"
"CollectionUtils.java:430"$1$"	public static <K, V> MultiValueMap<K, V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {"
"CollectionUtils.java:431"$1$"		Assert.notNull(map, ""'map' must not be null"");"
"CollectionUtils.java:432"$1$"		Map<K, List<V>> result = new LinkedHashMap<>(map.size());"
"CollectionUtils.java:433"$1$"		map.forEach((key, value) -> {"
"CollectionUtils.java:434"$1$"			List<? extends V> values = Collections.unmodifiableList(value);"
"CollectionUtils.java:435"$1$"			result.put(key, (List<V>) values);"
"CollectionUtils.java:436"$1$"		});"
"CollectionUtils.java:437"$0$"		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result);"
"CollectionUtils.java:438"$0$"		return toMultiValueMap(unmodifiableMap);"
"CollectionUtils.java:439"$0$"	}"
"CollectionUtils.java:440"$0$""
"CollectionUtils.java:441"$0$""
"CollectionUtils.java:442"$0$"	/**"
"CollectionUtils.java:443"$0$"	 * Iterator wrapping an Enumeration."
"CollectionUtils.java:444"$0$"	 */"
"CollectionUtils.java:445"$1$"	private static class EnumerationIterator<E> implements Iterator<E> {"
"CollectionUtils.java:446"$1$""
"CollectionUtils.java:447"$1$"		private final Enumeration<E> enumeration;"
"CollectionUtils.java:448"$1$""
"CollectionUtils.java:449"$1$"		public EnumerationIterator(Enumeration<E> enumeration) {"
"CollectionUtils.java:450"$1$"			this.enumeration = enumeration;"
"CollectionUtils.java:451"$1$"		}"
"CollectionUtils.java:452"$0$""
"CollectionUtils.java:453"$0$"		@Override"
"CollectionUtils.java:454"$1$"		public boolean hasNext() {"
"CollectionUtils.java:455"$1$"			return this.enumeration.hasMoreElements();"
"CollectionUtils.java:456"$1$"		}"
"CollectionUtils.java:457"$0$""
"CollectionUtils.java:458"$0$"		@Override"
"CollectionUtils.java:459"$1$"		public E next() {"
"CollectionUtils.java:460"$1$"			return this.enumeration.nextElement();"
"CollectionUtils.java:461"$1$"		}"
"CollectionUtils.java:462"$0$""
"CollectionUtils.java:463"$0$"		@Override"
